FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_hoje_ref.1233f9a5-fefc-31e7-9354-2d275c52f02a,-41.222,-15.566,2019-10-19T16:10:00,AQUA_M-T,ENCRUZILHADA,BAHIA,Brasil,POINT (-15.566 -41.222)
focos_ams_hoje_ref.1260190a-144c-3e54-ba74-7d5dbb9c2830,-43.563,-17.848,2019-10-19T16:10:00,AQUA_M-T,DIAMANTINA,MINAS GERAIS,Brasil,POINT (-17.848 -43.563)
focos_ams_hoje_ref.128549f7-2d41-3247-b39a-e2febef8ab0a,-42.331,-19.215,2019-10-19T16:10:00,AQUA_M-T,NAQUE,MINAS GERAIS,Brasil,POINT (-19.215 -42.331)
focos_ams_hoje_ref.13267461-0666-3234-bf9d-83131cb0b5d4,-49.621,-4.573,2019-10-19T16:15:00,AQUA_M-T,NOVO REPARTIMENTO,PARÁ,Brasil,POINT (-4.573 -49.621)
focos_ams_hoje_ref.132dad63-5af9-332f-ab25-14e8540f1ab1,-41.552,-6.55,2019-10-19T16:15:00,AQUA_M-T,LAGOA DO SÍTIO,PIAUÍ,Brasil,POINT (-6.55 -41.552)
focos_ams_hoje_ref.134136e0-88bb-3ac9-877a-716196104d5e,-41.354,-17.185,2019-10-19T16:10:00,AQUA_M-T,CARAÍ,MINAS GERAIS,Brasil,POINT (-17.185 -41.354)
focos_ams_hoje_ref.1366872f-a8cc-33ce-a0b7-f807420b28ac,-43.812,-7.599,2019-10-19T16:15:00,AQUA_M-T,BERTOLÍNIA,PIAUÍ,Brasil,POINT (-7.599 -43.812)
focos_ams_hoje_ref.137acfa8-e6f4-3a25-8ea9-0df853d56d75,-45.865,-6.876,2019-10-19T16:15:00,AQUA_M-T,SÃO RAIMUNDO DAS MANGABEIRAS,MARANHÃO,Brasil,POINT (-6.876 -45.865)
focos_ams_hoje_ref.142448d7-c3ff-3780-b073-00e02d04b45b,-45.398,-13.791,2019-10-19T16:10:00,AQUA_M-T,JABORANDI,BAHIA,Brasil,POINT (-13.791 -45.398)
focos_ams_hoje_ref.144ccd54-4e4e-3fc5-b48d-1b2be07618b8,-51.594,3.239,2019-10-19T16:15:00,AQUA_M-T,OIAPOQUE,AMAPÁ,Brasil,POINT (3.239 -51.594)
focos_ams_hoje_ref.145ed729-c53d-3e83-b9be-8477ad94bc62,-40.284,-16.074,2019-10-19T16:10:00,AQUA_M-T,JACINTO,MINAS GERAIS,Brasil,POINT (-16.074 -40.284)
focos_ams_hoje_ref.1463bbba-d97f-36c4-a23e-1f8a3a04c91c,-42.53,-15.891,2019-10-19T16:10:00,AQUA_M-T,RIO PARDO DE MINAS,MINAS GERAIS,Brasil,POINT (-15.891 -42.53)
focos_ams_hoje_ref.14747f4d-7ead-3c08-b4e5-a7e018f07f84,-41.395,-19.928,2019-10-19T16:10:00,AQUA_M-T,MUTUM,MINAS GERAIS,Brasil,POINT (-19.928 -41.395)
focos_ams_hoje_ref.148d77e0-e978-3da3-bf7e-1e99b923cb71,-42.651,-19.824,2019-10-19T16:10:00,AQUA_M-T,DIONÍSIO,MINAS GERAIS,Brasil,POINT (-19.824 -42.651)
focos_ams_hoje_ref.14977002-ff7b-3f9e-837c-15dc062ebdd6,-63.117,-40.707,2019-10-19T17:45:00,AQUA_M-T,Patagones,Buenos Aires,Argentina,POINT (-40.707 -63.117)
focos_ams_hoje_ref.14c70854-faea-3593-ac8a-99419a97631b,-56.922,-17.59,2019-10-19T17:50:00,AQUA_M-T,CORUMBÁ,MATO GROSSO DO SUL,Brasil,POINT (-17.59 -56.922)
focos_ams_hoje_ref.14f15d80-9c57-3357-9b34-ab3a0045e890,-64.099,-8.188,2019-10-19T17:50:00,AQUA_M-T,CANUTAMA,AMAZONAS,Brasil,POINT (-8.188 -64.099)
focos_ams_hoje_ref.14fb8887-df74-33b3-b99d-a86a13164e88,-46.029,-13.231,2019-10-19T16:10:00,AQUA_M-T,SÃO DESIDÉRIO,BAHIA,Brasil,POINT (-13.231 -46.029)
focos_ams_hoje_ref.15452c66-5ab0-3876-9114-ff9c19896628,-44.088,-8.196,2019-10-19T16:15:00,AQUA_M-T,MANOEL EMÍDIO,PIAUÍ,Brasil,POINT (-8.196 -44.088)
focos_ams_hoje_ref.1581a20e-3d3e-354e-93bd-69014a40181c,-41.82,-18.189,2019-10-19T16:10:00,AQUA_M-T,ITAMBACURI,MINAS GERAIS,Brasil,POINT (-18.189 -41.82)
focos_ams_hoje_ref.15a224be-0c7c-3fec-947a-c3338cd3ef87,-49.229,-7.031,2019-10-19T16:15:00,AQUA_M-T,XINGUARA,PARÁ,Brasil,POINT (-7.031 -49.229)
focos_ams_hoje_ref.15b90a53-0a7a-3f16-ba0e-2c612da6ca2a,-45.712,-4.43,2019-10-19T16:15:00,AQUA_M-T,BREJO DE AREIA,MARANHÃO,Brasil,POINT (-4.43 -45.712)
focos_ams_hoje_ref.15c2e937-0d57-378e-a173-62dd9f061be6,-53.043,-31.201,2019-10-19T17:45:00,AQUA_M-T,PIRATINI,RIO GRANDE DO SUL,Brasil,POINT (-31.201 -53.043)
focos_ams_hoje_ref.15d995a9-9a4e-3d7c-b7de-34ea36f96430,-41.029,-5.706,2019-10-19T16:15:00,AQUA_M-T,ASSUNÇÃO DO PIAUÍ,PIAUÍ,Brasil,POINT (-5.706 -41.029)
focos_ams_hoje_ref.17eae74c-aa91-3b81-bc4e-235e1047cb65,-41.287,-19.687,2019-10-19T16:10:00,AQUA_M-T,AIMORÉS,MINAS GERAIS,Brasil,POINT (-19.687 -41.287)
focos_ams_hoje_ref.1822078e-d3b0-3f2d-a17a-de647aa67abf,-46.424,-6.529,2019-10-19T16:15:00,AQUA_M-T,FORMOSA DA SERRA NEGRA,MARANHÃO,Brasil,POINT (-6.529 -46.424)
focos_ams_hoje_ref.1841d963-92e8-3907-acfd-fbb18f314d47,-42.638,-14.58,2019-10-19T16:10:00,AQUA_M-T,URANDI,BAHIA,Brasil,POINT (-14.58 -42.638)
focos_ams_hoje_ref.189770c2-6e31-34d1-8c58-01f518b32021,-41.284,-5.042,2019-10-19T16:15:00,AQUA_M-T,BURITI DOS MONTES,PIAUÍ,Brasil,POINT (-5.042 -41.284)
focos_ams_hoje_ref.193f1570-348a-3327-bd6f-7983fe8fb60d,-42.536,-18.213,2019-10-19T16:10:00,AQUA_M-T,JOSÉ RAYDAN,MINAS GERAIS,Brasil,POINT (-18.213 -42.536)
focos_ams_hoje_ref.195ac40d-1538-33f4-b85e-16335f1107b8,-63.809,-14.032,2019-10-19T17:50:00,AQUA_M-T,Vaca Díez,El Beni,Bolivia,POINT (-14.032 -63.809)
focos_ams_hoje_ref.196c6883-0054-316c-95a2-10a76ee23fe1,-48.083,-10.437,2019-10-19T16:15:00,AQUA_M-T,PALMAS,TOCANTINS,Brasil,POINT (-10.437 -48.083)
focos_ams_hoje_ref.19af1054-488d-3bfc-b17c-07f04647e416,-41.637,-6.978,2019-10-19T16:15:00,AQUA_M-T,DOM EXPEDITO LOPES,PIAUÍ,Brasil,POINT (-6.978 -41.637)
focos_ams_hoje_ref.19b766eb-b20c-355c-86e7-dbc605f31184,-40.926,-15.26,2019-10-19T16:10:00,AQUA_M-T,VITÓRIA DA CONQUISTA,BAHIA,Brasil,POINT (-15.26 -40.926)
focos_ams_hoje_ref.1a35414f-68e7-3e0f-b916-88a9b248f16e,-45.117,-17.177,2019-10-19T16:10:00,AQUA_M-T,BURITIZEIRO,MINAS GERAIS,Brasil,POINT (-17.177 -45.117)
focos_ams_hoje_ref.1a51086b-33a4-35c3-b3ec-bea9f1dd8363,-41.656,-3.798,2019-10-19T16:15:00,AQUA_M-T,PIRACURUCA,PIAUÍ,Brasil,POINT (-3.798 -41.656)
